id,image_path,label,stage
standfordcars_0,04354.jpg,ood_test,test
standfordcars_1,02725.jpg,ood_test,test
standfordcars_2,07885.jpg,ood_test,test
standfordcars_3,06543.jpg,ood_test,test
standfordcars_4,00132.jpg,ood_test,test
standfordcars_5,00654.jpg,ood_test,test
standfordcars_6,06225.jpg,ood_test,test
standfordcars_7,02043.jpg,ood_test,test
standfordcars_8,04432.jpg,ood_test,test
standfordcars_9,02057.jpg,ood_test,test
standfordcars_10,05738.jpg,ood_test,test
standfordcars_11,04426.jpg,ood_test,test
standfordcars_12,03349.jpg,ood_test,test
standfordcars_13,00640.jpg,ood_test,test
standfordcars_14,00898.jpg,ood_test,test
standfordcars_15,06231.jpg,ood_test,test
standfordcars_16,01238.jpg,ood_test,test
standfordcars_17,07891.jpg,ood_test,test
standfordcars_18,06557.jpg,ood_test,test
standfordcars_19,07649.jpg,ood_test,test
standfordcars_20,00126.jpg,ood_test,test
standfordcars_21,04340.jpg,ood_test,test
standfordcars_22,02731.jpg,ood_test,test
standfordcars_23,01210.jpg,ood_test,test
standfordcars_24,07661.jpg,ood_test,test
standfordcars_25,03407.jpg,ood_test,test
standfordcars_26,04368.jpg,ood_test,test
standfordcars_27,05076.jpg,ood_test,test
standfordcars_28,02719.jpg,ood_test,test
standfordcars_29,05710.jpg,ood_test,test
standfordcars_30,03361.jpg,ood_test,test
standfordcars_31,00668.jpg,ood_test,test
standfordcars_32,07107.jpg,ood_test,test
standfordcars_33,06219.jpg,ood_test,test
standfordcars_34,01576.jpg,ood_test,test
standfordcars_35,07113.jpg,ood_test,test
standfordcars_36,01562.jpg,ood_test,test
standfordcars_37,05704.jpg,ood_test,test
standfordcars_38,03375.jpg,ood_test,test
standfordcars_39,03413.jpg,ood_test,test
standfordcars_40,05062.jpg,ood_test,test
standfordcars_41,01204.jpg,ood_test,test
standfordcars_42,07675.jpg,ood_test,test
standfordcars_43,07846.jpg,ood_test,test
standfordcars_44,06580.jpg,ood_test,test
standfordcars_45,05089.jpg,ood_test,test
standfordcars_46,04397.jpg,ood_test,test
standfordcars_47,05937.jpg,ood_test,test
standfordcars_48,02080.jpg,ood_test,test
standfordcars_49,01589.jpg,ood_test,test
standfordcars_50,00697.jpg,ood_test,test
standfordcars_51,00683.jpg,ood_test,test
standfordcars_52,05923.jpg,ood_test,test
standfordcars_53,02094.jpg,ood_test,test
standfordcars_54,04383.jpg,ood_test,test
standfordcars_55,07852.jpg,ood_test,test
standfordcars_56,06594.jpg,ood_test,test
standfordcars_57,02902.jpg,ood_test,test
standfordcars_58,00873.jpg,ood_test,test
standfordcars_59,00867.jpg,ood_test,test
standfordcars_60,02916.jpg,ood_test,test
standfordcars_61,04630.jpg,ood_test,test
standfordcars_62,02241.jpg,ood_test,test
standfordcars_63,01748.jpg,ood_test,test
standfordcars_64,06027.jpg,ood_test,test
standfordcars_65,07339.jpg,ood_test,test
standfordcars_66,01990.jpg,ood_test,test
standfordcars_67,00456.jpg,ood_test,test
standfordcars_68,06999.jpg,ood_test,test
standfordcars_69,00330.jpg,ood_test,test
standfordcars_70,06741.jpg,ood_test,test
standfordcars_71,02527.jpg,ood_test,test
standfordcars_72,05248.jpg,ood_test,test
standfordcars_73,04156.jpg,ood_test,test
standfordcars_74,03639.jpg,ood_test,test
standfordcars_75,02533.jpg,ood_test,test
standfordcars_76,04142.jpg,ood_test,test
standfordcars_77,00324.jpg,ood_test,test
standfordcars_78,06755.jpg,ood_test,test
standfordcars_79,06033.jpg,ood_test,test
standfordcars_80,01984.jpg,ood_test,test
standfordcars_81,00442.jpg,ood_test,test
standfordcars_82,04624.jpg,ood_test,test
standfordcars_83,02255.jpg,ood_test,test
standfordcars_84,01774.jpg,ood_test,test
standfordcars_85,08036.jpg,ood_test,test
standfordcars_86,07305.jpg,ood_test,test
standfordcars_87,03163.jpg,ood_test,test
standfordcars_88,05512.jpg,ood_test,test
standfordcars_89,05274.jpg,ood_test,test
standfordcars_90,03605.jpg,ood_test,test
standfordcars_91,07463.jpg,ood_test,test
standfordcars_92,01012.jpg,ood_test,test
standfordcars_93,00318.jpg,ood_test,test
standfordcars_94,07477.jpg,ood_test,test
standfordcars_95,06769.jpg,ood_test,test
standfordcars_96,01006.jpg,ood_test,test
standfordcars_97,05260.jpg,ood_test,test
standfordcars_98,03611.jpg,ood_test,test
standfordcars_99,03177.jpg,ood_test,test
standfordcars_100,04618.jpg,ood_test,test
standfordcars_101,05506.jpg,ood_test,test
standfordcars_102,02269.jpg,ood_test,test
standfordcars_103,01760.jpg,ood_test,test
standfordcars_104,08022.jpg,ood_test,test
standfordcars_105,07311.jpg,ood_test,test
standfordcars_106,01953.jpg,ood_test,test
standfordcars_107,00495.jpg,ood_test,test
standfordcars_108,02282.jpg,ood_test,test
standfordcars_109,04195.jpg,ood_test,test
standfordcars_110,03822.jpg,ood_test,test
standfordcars_111,06782.jpg,ood_test,test
